code	name	name_en
ar	العربية	Arabic
ar-x-fm	العربية (مؤنث)	Arabic (Feminine)
bn	বাংলা	Bangla
eu	euskara	Basque (beta)
en-gb	British English	British English
bg	български	Bulgarian
ca	català	Catalan
hr	hrvatski	Croatian
cs	čeština	Czech
da	dansk	Danish
nl	Nederlands	Dutch
en	English	English
fil	Filipino	Filipino
fi	suomi	Finnish
fr	français	French
gl	galego	Galician (beta)
de	Deutsch	German
el	Ελληνικά	Greek
gu	ગુજરાતી	Gujarati
he	עברית	Hebrew
hi	हिन्दी	Hindi
hu	magyar	Hungarian
id	Indonesia	Indonesian
ga	Gaeilge	Irish (beta)
it	italiano	Italian
ja	日本語	Japanese
kn	ಕನ್ನಡ	Kannada
ko	한국어	Korean
msa	Melayu	Malay
mr	मराठी	Marathi
no	norsk	Norwegian
fa	فارسی	Persian
pl	polski	Polish
pt	português	Portuguese
ro	română	Romanian
ru	русский	Russian
sr	српски	Serbian
zh-cn	简体中文	Simplified Chinese
sk	slovenčina	Slovak
es	español	Spanish
sv	svenska	Swedish
ta	தமிழ்	Tamil
th	ไทย	Thai
zh-tw	繁體中文	Traditional Chinese
tr	Türkçe	Turkish
uk	українська	Ukrainian
ur	اردو	Urdu (beta)
vi	Tiếng Việt	Vietnamese